question,answer
"Jaké práva přináší uznaná doba rodičovství studentům?","Uznaná doba rodičovství přináší studentům právo v následujících oblastech: a) přerušení studia (čl. 26 odst. 8), b) prodloužení lhůt pro ukončování předmětů (čl. 30 odst. 2 písm. b)), c) poplatků spojených se studiem (Příloha č. 3 Statutu OU)."
"Jaké je nezbytné doložení pro evidenci uznané doby rodičovství?","Nezbytnou podmínkou pro evidenci uznané doby rodičovství je žádost studenta, v níž je doložena doba, po niž trvá nebo by trvala mateřská či rodičovská dovolená."
"Jaká práva má student, který je vrcholovým sportovcem?","Student, který předloží fakultě potvrzení o tom, že je vrcholovým sportovcem ve sportovním odvětví, vydané sportovní organizací zastupující toto sportovní odvětví v České republice, má v souvislosti s touto skutečností možnost požádat o přiznání práva na skutečnosti uvedené v odstavci 2 písm. a) a b)."
"Jak může garant předmětu pomoci vrcholovému sportovci?","Studentovi, který se nemohl povinné výuky zúčastnit z důvodu účasti na sportovní reprezentaci a nezbytné přípravě na ni, určí, je-li to možné, garant předmětu náhradní způsob splnění studijních povinností."
"Na jaké typy se dělí přerušení studia?","Přerušení studia se dělí na tyto typy: a) přerušení studia na akademický rok, b) přerušení studia na semestr studia, c) přerušení studia do doby přihlášení se ke státní zkoušce, d) přerušení studia ze závažných důvodů, e) přerušení studia z důvodu uznané doby rodičovství."
"Jaká je maximální doba přerušení studia kromě uznané doby rodičovství?","Maximální doba přerušení studia kromě přerušení studia podle odstavce 1 písm. e) je 2 roky."
"Jaké podmínky musí student splnit pro povolení přerušení studia?","Pro povolení přerušení studia všech typů je nezbytné splnit tyto podmínky: a) žádost o přerušení studia adresována děkanovi a podána prostřednictvím studijního oddělení, b) akreditace studijního programu není omezena, c) studijní program bude nadále uskutečňován, d) nebyla překročena maximální doba přerušení studia podle odstavce 2, e) žádost o přerušení studia nebyla podána v prvním semestru s výjimkou žádosti podle odstavce 1 písm. d) a e)."
"Jaké podmínky musí být splněny pro přerušení studia na akademický rok?","Děkan rozhodne o přerušení studia podle odstavce 1 písm. a) (tj. přerušení studia na akademický rok) za těchto podmínek: a) žádost o přerušení studia byla doručena před 1. zářím akademického roku, na který se žádost vztahuje, b) student dosáhl studijních výsledků umožňujících zápis do studia v akademickém roce, v kterém chce studium přerušit, c) student požádal o přerušení studia buď na celý akademický rok, nebo na dva celé po sobě jdoucí akademické roky, d) byly splněny podmínky pro přerušení studia podle odstavce 3."
"Jaké podmínky musí být splněny pro přerušení studia na semestr studia?","Děkan rozhodne o přerušení studia podle odstavce 1 písm. b) (tj. přerušení studia na semestr studia) za těchto podmínek: a) žádost o přerušení studia byla doručena před začátkem semestru, na který se žádost vztahuje, b) student dosáhl takových studijních výsledků, které nejsou důvodem pro ukončení studia podle čl. 27 odst. 4, c) student v doktorském studijním programu získal za první semestr studia alespoň 10 kreditů, d) student požádal o přerušení studia na celý semestr nebo na dva celé po sobě jdoucí semestry, e) přerušením studia nevznikne důvod k prodloužení studia, f) byly splněny podmínky pro přerušení studia podle odstavce 3."
"Jaké podmínky musí být splněny pro přerušení studia do doby přihlášení se ke státní zkoušce?","Děkan rozhodne o přerušení studia podle odstavce 1 písm. c) (tj. přerušení studia do doby přihlášení se ke státní zkoušce) za těchto podmínek: a) student splnil všechny předměty a získal kredity nutné pro přihlášení se ke konání státní zkoušky, b) žádá o přerušení studia od 1. září nebo od začátku letního semestru, c) konec požadované doby přerušení není překážkou k řádnému přihlášení se k státní zkoušce, d) byly splněny podmínky pro přerušení studia podle odstavce 3."
"Jak může děkan rozhodnout o přerušení studia ze závažných důvodů?","Děkan může rozhodnout o přerušení studia podle odstavce 1 písm. d) (tj. přerušení studia ze závažných důvodů) i v průběhu semestru za těchto podmínek: a) student řádně a náležitě doloží závažný důvod, zejména zdravotní, b) požadovaná doba přerušení studia je pro děkana přijatelná z hlediska harmonogramu akademického roku fakulty, c) byly splněny podmínky pro přerušení studia podle odstavce 3."
"Jaké podmínky musí být splněny pro přerušení studia z důvodu uznané doby rodičovství?","Děkan rozhodne o přerušení studia podle odstavce 1 písm. e) (tj. přerušení studia z důvodu uznané doby rodičovství) za těchto podmínek: a) u studenta je evidována uznaná doba rodičovství podle čl. 25, b) požadovaná doba přerušení odpovídá evidované uznané době rodičovství, c) byly splněny podmínky pro přerušení studia podle odstavce 3."
"Má děkan právo upravit dobu přerušení studia?","Ano, děkan má právo upravit dobu přerušení studia (zpravidla s ohledem na harmonogram akademického roku fakulty)."
"Započítává se doba přerušení studia do standardní nebo maximální doby studia?","Ne, doba přerušení studia se nezapočítává do standardní ani do maximální doby studia."
"Co může děkan udělat, pokud pomine důvod k přerušení studia?","Pomine-li důvod k přerušení studia, může děkan na žádost studenta přerušení studia ukončit před uplynutím stanovené doby přerušení. Pokud děkan žádosti vyhoví, stanoví datum ukončení přerušení studia."
"Co musí osoba udělat po ukončení přerušení studia?","Po ukončení přerušení studia má osoba povinnost zapsat se do studia. Nezapíše-li se do pěti pracovních dnů po ukončení přerušení studia nebo nepožádá-li o jiný termín zápisu, je posuzována jako kdyby nesplnila požadavky vyplývající ze studijního programu podle tohoto řádu a je jí studium ukončeno podle čl. 27 odst. 4 písm. n)."
"Zaručuje fakulta, že během přerušení studia nedojde ke změně standardního studijního plánu?","Fakulta nezaručuje, že během přerušení studia nedojde ke změně standardního studijního plánu."
"Je osoba během doby přerušení studia studentem?","V době přerušení studia není osoba studentem. Studentem se stává dnem opětovného zápisu do studia."
"Jak se zaznamenává přerušení studia?","Přerušení studia se zaznamenává do elektronického informačního systému."
"Jak se řádně ukončuje studium?","Studium se řádně ukončuje absolvováním studia ve studijním programu. Dnem řádného ukončení studia je den, kdy byla vykonána státní zkouška předepsaná na závěr studia nebo její poslední část, nebo obhájena disertační práce."
"Co je dokladem o řádném ukončení studia a získání akademického titulu?","Dokladem o řádném ukončení studia a o získání akademického titulu je vysokoškolský diplom a dodatek k diplomu (Diploma Supplement)."
"Jak se dále ukončuje studium podle § 56 odst. 1 zákona?","Studium se dále ukončuje podle § 56 odst. 1 zákona: a) písemným prohlášením studenta o zanechání studia, b) nesplní-li student požadavky vyplývající ze studijního programu podle tohoto řádu, c) odnětím akreditace studijního programu, d) zánikem akreditace studijního programu v případě, že OU oznámí zrušení studijního programu, e) zánikem akreditace studijního programu v případě, že uplynula doba, na kterou byla akreditace udělena, f) ukončením uskutečňování studijního programu při zaniknutí institucionální akreditace podle § 81b odst. 3 zákona, g) zánikem oprávnění uskutečňovat studijní program při zjištění závažných nedostatků podle § 86 odst. 3 a 4 zákona, h) vyloučením ze studia za spáchání disciplinárního přestupku podle § 65 odst. 1 písm. c) zákona, i) vyloučením ze studia za podvodné jednání v přijímacím řízení podle § 67 zákona, j) vyloučením ze studia v souvislosti s řízením o vyslovení neplatnosti vykonání státní zkoušky nebo její části nebo obhajoby disertační práce podle § 47e odst. 1 zákona."
"Kdy rozhodne děkan o ukončení studia pro neplnění požadavků vyplývajících ze studijního programu?","Děkan rozhodne o ukončení studia pro neplnění požadavků vyplývajících ze studijního programu podle tohoto řádu, jestliže student: a) v bakalářském nebo magisterském studijním programu nezískal za první semestr studia alespoň 20 kreditů; b) v bakalářském nebo magisterském studijním programu nezískal za první rok studia alespoň 40 kreditů; c) v doktorském studijním programu nezískal za první rok studia alespoň 30 kreditů; d) v bakalářském nebo magisterském studijním programu v některých čtyřech po sobě jdoucích semestrech v posloupnosti lichý až sudý nezískal alespoň 80 kreditů, s výjimkou případu, kdy student v této době splnil podmínky pro konání státní zkoušky; e) v doktorském studijním programu v některých čtyřech po sobě jdoucích semestrech v posloupnosti lichý až sudý nezískal alespoň 60 kreditů, s výjimkou případu, kdy student v této době splnil podmínky pro konání státní doktorské zkoušky; f) u studijního programu Všeobecné lékařství nesplnil všechny povinné předměty standardního studijního plánu prvního roku studia; g) k poslednímu dni daného akademického roku měl celkový vážený studijní průměr podle čl. 34 horší než 3,4; h) ani po druhém zapsání nezískal kredity za některý povinný předmět; i) neprovedl zápis do akademického roku; j) v některém bloku povinně volitelných předmětů již nemá možnost získat předepsaný počet kreditů; k) nevykonal úspěšně státní zkoušku ani v opravném termínu; l) nevykonal úspěšně státní rigorózní zkoušku ve studijním programu Všeobecné lékařství ani v druhém opravném termínu; m) nesplnil ve stanovené maximální době studia podmínky pro absolvování studia; n) po přerušení studia se do něj nezapsal a do pěti pracovních dnů se neomluvil; o) v doktorském studijním programu nesplnil podmínky stanovené individuálním studijním plánem a oborová rada navrhla děkanovi ukončení studia."
"Kdy může děkan rozhodnout o ukončení studia pro neplnění požadavků vyplývajících ze studijního programu?","Děkan může rozhodnout o ukončení studia pro neplnění požadavků vyplývajících ze studijního programu, jestliže student: a) neprovedl ve stanoveném termínu a předepsaným způsobem zápis předmětů ve všech jeho jednotlivých krocích podle čl. 18 odst. 1 až 10; b) překročil stanovený počet neúspěšně absolvovaných povinně volitelných a výběrových předmětů podle čl. 19 odst. 4; c) nezapsal si skupinu předmětů stanovenou děkanem podle čl. 20 odst. 2; d) nezapsal si předměty stanovené podle čl. 20 odst. 4."
"Jaký je den ukončení studia písemným prohlášením o zanechání studia?","Dnem ukončení studia podle odstavce 3 písm. a) je den, kdy bylo fakultě, kde je student zapsán, doručeno jeho písemné prohlášení o zanechání studia."
"Jaký je den ukončení studia pro neplnění požadavků vyplývajících ze studijního programu?","Dnem ukončení studia podle odstavce 3 písm. b) je den, kdy rozhodnutí děkana o ukončení studia v souladu s odstavcem 4 nabylo právní moci."
"Jaký je den ukončení studia odnětím akreditace studijního programu?","Dnem ukončení studia podle odstavce 3 písm. c) je nejpozději den, kdy uplynula lhůta stanovená v rozhodnutí Ministerstva školství, mládeže a tělovýchovy."
"Jaký je den ukončení studia zánikem akreditace studijního programu při oznámení zrušení studijního programu?","Dnem ukončení studia podle odstavce 3 písm. d) je den, ke kterému OU oznámila zrušení studijního programu."
"Jaký je den ukončení studia zánikem akreditace studijního programu při uplynutí doby udělené akreditace?","Dnem ukončení studia podle odstavce 3 písm. e) je den, ke kterému skončila udělená akreditace."
"Jaký je den ukončení studia při zaniknutí institucionální akreditace?","Dnem ukončení studia podle odstavce 3 písm. f) je poslední den lhůty 3 let uvedené v § 81b odst. 3 věty první zákona."
"Jaký je den ukončení studia při zániku oprávnění uskutečňovat studijní program na základě institucionální akreditace?","Dnem ukončení studia podle odstavce 3 písm. g) je den, ke kterému zaniklo oprávnění uskutečňovat studijní program na základě institucionální akreditace."
"Jaký je den ukončení studia při vyloučení za spáchání disciplinárního přestupku?","Dnem ukončení studia podle odstavce 3 písm. h) je den, kdy rozhodnutí o vyloučení ze studia nabylo právní moci."
"Jaký je den ukončení studia při vyloučení za podvodné jednání v přijímacím řízení?","Dnem ukončení studia podle odstavce 3 písm. i) je den, kdy rozhodnutí o vyloučení ze studia nabylo právní moci."
"Jaký je den ukončení studia při vyloučení v souvislosti s neplatností státní zkoušky nebo obhajoby disertační práce?","Dnem ukončení studia podle odstavce 3 písm. j) je den, kdy nabylo účinnosti rozhodnutí podle § 47c až 47e zákona o neplatnosti vykonání státní zkoušky předepsané na závěr studia ve studijním programu nebo její součásti nebo obhajoby disertační práce."
